"Search Terms","Committee on Foreign relations"
"Total Count","36336"
"index","collection","packageId","granuleId","title","detailsLink","pdfLink","htmlLink","xmlLink","otherLink1","otherLink2","teaser","historical","publishdate"
"571","Congressional Recor","CREC-2009-05-12","CREC-2009-05-12-pt1-PgD535","Daily Digest/Senate Committee Meetings","https://www.govinfo.gov/app/details/CREC-2009-05-12/CREC-2009-05-12-pt1-PgD535","https://www.govinfo.gov/content/pkg/CREC-2009-05-12/pdf/CREC-2009-05-12-pt1-PgD535.pdf","https://www.govinfo.gov/content/pkg/CREC-2009-05-12/html/CREC-2009-05-12-pt1-PgD535.htm","","",""," the President's proposed budget request for fiscal year 2010 for the Army, after receiving testimony from Pete Geren, Secretary, and General George W. Casey, Jr., Chief of Staff, both of the United States Army, Department of Defense. APPROPRIATIONS: STATE, FOREIGN OPERATIONS, AND RELATED AGENCIES Committee on Appropriations: Subcommittee on ...","","2009-05-12"
"572","Congressional Recor","CREC-2014-04-02","CREC-2014-04-02-pt1-PgD360","Daily Digest/COMMITTEE MEETINGS FOR 2014-04-03","https://www.govinfo.gov/app/details/CREC-2014-04-02/CREC-2014-04-02-pt1-PgD360","https://www.govinfo.gov/content/pkg/CREC-2014-04-02/pdf/CREC-2014-04-02-pt1-PgD360.pdf","https://www.govinfo.gov/content/pkg/CREC-2014-04-02/html/CREC-2014-04-02-pt1-PgD360.htm","","",""," on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies, to hold hearings to examine proposed budget estimates for fiscal year 2015 for the Food and Drug Administration., 10 a.m., SD-138. Subcommittee on Commerce, Justice, Science, and Related Agencies, to hold hearings to examine proposed budget estimates for ...","","2014-04-02"
"573","Congressional Recor","CREC-1998-03-06","CREC-1998-03-06-pt1-PgS1506-2","EXECUTIVE REPORTS OF COMMITTEES","https://www.govinfo.gov/app/details/CREC-1998-03-06/CREC-1998-03-06-pt1-PgS1506-2","https://www.govinfo.gov/content/pkg/CREC-1998-03-06/pdf/CREC-1998-03-06-pt1-PgS1506-2.pdf","https://www.govinfo.gov/content/pkg/CREC-1998-03-06/html/CREC-1998-03-06-pt1-PgS1506-2.htm","","","","Treaty Doc. 105-36 Protocols to the North Atlantic Treaty of 1949 On Accession of Poland, Hungary, and the Czech Republic (Exec. Rept. 105-15). Text of Resolution of Advice and Consent to Ratification as Reported by the Committee on Foreign Relations Resolved (two-thirds of the Senators present concurring therein), SECTION 1. SENATE ADVICE AND ...","","1998-03-06"
"574","Congressional Recor","CREC-2016-02-22","CREC-2016-02-22-pt1-PgD147-5","Daily Digest/COMMITTEE MEETINGS FOR 2016-02-23","https://www.govinfo.gov/app/details/CREC-2016-02-22/CREC-2016-02-22-pt1-PgD147-5","https://www.govinfo.gov/content/pkg/CREC-2016-02-22/pdf/CREC-2016-02-22-pt1-PgD147-5.pdf","https://www.govinfo.gov/content/pkg/CREC-2016-02-22/html/CREC-2016-02-22-pt1-PgD147-5.htm","","",""," hearings to examine U.S. Pacific Command and U.S. Forces Korea in review of the Defense Authorization Request for fiscal year 2017 and the Future Years Defense Program, 9:30 a.m., SD-G50. Subcommittee on Personnel, to hold hearings to examine defense health care reform, 2:30 p.m., SD-G50. Subcommittee on Strategic Forces, to hold hearings to ...","","2016-02-22"
"575","Congressional Recor","CREC-2015-11-18","CREC-2015-11-18-pt1-PgD1236","Daily Digest/COMMITTEE MEETINGS FOR 2015-11-19","https://www.govinfo.gov/app/details/CREC-2015-11-18/CREC-2015-11-18-pt1-PgD1236","https://www.govinfo.gov/content/pkg/CREC-2015-11-18/pdf/CREC-2015-11-18-pt1-PgD1236.pdf","https://www.govinfo.gov/content/pkg/CREC-2015-11-18/html/CREC-2015-11-18-pt1-PgD1236.htm","","",""," hearings to examine the nominations of Alissa M. Starzak, of New York, to be General Counsel of the Department of the Army, Franklin R. Parker, of Illinois, to be an Assistant Secretary of the Navy, John Conger, of Maryland, to be a Principal Deputy Under Secretary, and Stephen P. Welby, of Maryland, to be an Assistant Secretary, all of the ...","","2015-11-18"
"576","Congressional Recor","CREC-1996-03-12","CREC-1996-03-12-pt1-PgD178","Daily Digest/Senate Committee Meetings","https://www.govinfo.gov/app/details/CREC-1996-03-12/CREC-1996-03-12-pt1-PgD178","https://www.govinfo.gov/content/pkg/CREC-1996-03-12/pdf/CREC-1996-03-12-pt1-PgD178.pdf","https://www.govinfo.gov/content/pkg/CREC-1996-03-12/html/CREC-1996-03-12-pt1-PgD178.htm","","",""," hearings to assess the costs associated with law enforcement training initiatives to combat international crime, terrorism, and narcotics, after receiving testimony from Louis J. Freeh, Director, Federal Bureau of Investigation, Department of Justice. NOMINATIONS Committee on Armed Services: Committee ordered favorably reported the nominations of ...","","1996-03-12"
"577","Congressional Recor","CREC-2006-04-26","CREC-2006-04-26-pt1-PgD392","Daily Digest/COMMITTEE MEETINGS FOR 2006-04-27","https://www.govinfo.gov/app/details/CREC-2006-04-26/CREC-2006-04-26-pt1-PgD392","https://www.govinfo.gov/content/pkg/CREC-2006-04-26/pdf/CREC-2006-04-26-pt1-PgD392.pdf","https://www.govinfo.gov/content/pkg/CREC-2006-04-26/html/CREC-2006-04-26-pt1-PgD392.htm","","",""," on Transportation, Treasury, the Judiciary, and Housing and Urban Development, and Related Agencies, to hold hearings to examine proposed budget estimates for fiscal year 2007 for the Internal Revenue Service, Department of the Treasury, 9:30 a.m., SD-138. Subcommittee on Legislative Branch, to resume hearings to examine the progress of the ...","","2006-04-26"
"578","Congressional Recor","CREC-2004-07-13","CREC-2004-07-13-pt1-PgD758","Daily Digest/COMMITTEE MEETINGS FOR 2004-07-14","https://www.govinfo.gov/app/details/CREC-2004-07-13/CREC-2004-07-13-pt1-PgD758","https://www.govinfo.gov/content/pkg/CREC-2004-07-13/pdf/CREC-2004-07-13-pt1-PgD758.pdf","https://www.govinfo.gov/content/pkg/CREC-2004-07-13/html/CREC-2004-07-13-pt1-PgD758.htm","","","",": to hold hearings to examine home products fire safety issues, 9:30 a.m., SR- 253. Subcommittee on Science, Technology, and Space, to hold hearings to examine adult stem cell research issues, 2:30 p.m., SR-253. Committee on Energy and Natural Resources: business meeting to consider pending calendar business, 11:30 a.m., SD-366. ...","","2004-07-13"
"579","Congressional Recor","CREC-2004-05-12","CREC-2004-05-12-pt1-PgD489","Daily Digest/Senate Committee Meetings","https://www.govinfo.gov/app/details/CREC-2004-05-12/CREC-2004-05-12-pt1-PgD489","https://www.govinfo.gov/content/pkg/CREC-2004-05-12/pdf/CREC-2004-05-12-pt1-PgD489.pdf","https://www.govinfo.gov/content/pkg/CREC-2004-05-12/html/CREC-2004-05-12-pt1-PgD489.htm","","",""," hearings to examine proposed budget estimates for fiscal year 2005 for the Department of Defense, after receiving testimony from Donald H. Rumsfeld, Secretary, and Larry Lanzillotta, Acting Under Secretary (Comptroller), both of the Department of Defense; and General Richard B. Myers, USAF, Chairman, Joint Chiefs of Staff. NOMINATIONS ...","","2004-05-12"
"580","Congressional Recor","CREC-2000-02-08","CREC-2000-02-08-pt1-PgD61-2","Daily Digest/Senate Committee Meetings","https://www.govinfo.gov/app/details/CREC-2000-02-08/CREC-2000-02-08-pt1-PgD61-2","https://www.govinfo.gov/content/pkg/CREC-2000-02-08/pdf/CREC-2000-02-08-pt1-PgD61-2.pdf","https://www.govinfo.gov/content/pkg/CREC-2000-02-08/html/CREC-2000-02-08-pt1-PgD61-2.htm","","",""," the United States dairy policy and programs, focusing on the Federal Milk Marketing Order, Northeast Dairy Compact, Dairy Export Incentive Program, and S. 1930, to amend the Agricultural Adjustment Act to provide for the termination of milk marketing orders, receiving testimony from Senators Specter, Jeffords, Kohl, Wellstone, Feingold, and ...","","2000-02-08"
"581","Congressional Recor","CREC-1999-04-13","CREC-1999-04-13-pt1-PgD373","Daily Digest/Senate Committee Meetings","https://www.govinfo.gov/app/details/CREC-1999-04-13/CREC-1999-04-13-pt1-PgD373","https://www.govinfo.gov/content/pkg/CREC-1999-04-13/pdf/CREC-1999-04-13-pt1-PgD373.pdf","https://www.govinfo.gov/content/pkg/CREC-1999-04-13/html/CREC-1999-04-13-pt1-PgD373.htm","","",""," concluded hearings on proposed budget estimates for fiscal year 2000 for the Department of Energy, in behalf of funds for their respective activities, after receiving testimony from Martha Krebs, Director, Office of Science, Dan W. Reicher, Assistant Secretary for Energy Efficiency and Renewable Energy, and William D. Magwood, IV, Director, ...","","1999-04-13"
"582","Congressional Recor","CREC-1996-04-18","CREC-1996-04-18-pt1-PgD332","Daily Digest/Senate Committee Meetings","https://www.govinfo.gov/app/details/CREC-1996-04-18/CREC-1996-04-18-pt1-PgD332","https://www.govinfo.gov/content/pkg/CREC-1996-04-18/pdf/CREC-1996-04-18-pt1-PgD332.pdf","https://www.govinfo.gov/content/pkg/CREC-1996-04-18/html/CREC-1996-04-18-pt1-PgD332.htm","","","",", and Related Agencies held hearings on proposed budget estimates for fiscal year 1997, receiving testimony in behalf of funds for their respective activities from James Lyons, Under Secretary for Natural Resources and Environment, Paul W. Johnson, Chief, Pearlie S. Reed, Associate Chief, Thomas A. Weber, Deputy Chief for Natural Resource...","","1996-04-18"
"583","Congressional Recor","CREC-2015-10-29","CREC-2015-10-29-pt1-PgD1153","Daily Digest/Senate Committee Meetings","https://www.govinfo.gov/app/details/CREC-2015-10-29/CREC-2015-10-29-pt1-PgD1153","https://www.govinfo.gov/content/pkg/CREC-2015-10-29/pdf/CREC-2015-10-29-pt1-PgD1153.pdf","https://www.govinfo.gov/content/pkg/CREC-2015-10-29/html/CREC-2015-10-29-pt1-PgD1153.htm","","",""," to examine alternative approaches to defense strategy and force structure, after receiving testimony from Thomas M. Donnelly, American Enterprise Institute Marilyn Ware Center for Security Studies, Shawn Brimley, Center for a New American Security, Andrew F. Krepinevich, Center for Strategic and Budgetary Assessments, Christopher A. Preble, Cato...","","2015-10-29"
"584","Congressional Recor","CREC-2017-03-21","CREC-2017-03-21-pt1-PgD319","Daily Digest/COMMITTEE MEETINGS FOR 2017-03-22","https://www.govinfo.gov/app/details/CREC-2017-03-21/CREC-2017-03-21-pt1-PgD319","https://www.govinfo.gov/content/pkg/CREC-2017-03-21/pdf/CREC-2017-03-21-pt1-PgD319.pdf","https://www.govinfo.gov/content/pkg/CREC-2017-03-21/html/CREC-2017-03-21-pt1-PgD319.htm","","",""," on Department of Defense, to hold hearings to examine defense readiness and budget update, 10:30 a.m., SD-192. Committee on Armed Services: Subcommittee on Airland, to hold hearings to examine Army modernization, 3:30 p.m., SR-222. Committee on Commerce, Science, and Transportation: to hold hearings to examine the promises and perils of ...","","2017-03-21"
"585","Congressional Recor","CREC-2015-02-24","CREC-2015-02-24-pt1-PgD169-2","Daily Digest/COMMITTEE MEETINGS FOR 2015-02-25","https://www.govinfo.gov/app/details/CREC-2015-02-24/CREC-2015-02-24-pt1-PgD169-2","https://www.govinfo.gov/content/pkg/CREC-2015-02-24/pdf/CREC-2015-02-24-pt1-PgD169-2.pdf","https://www.govinfo.gov/content/pkg/CREC-2015-02-24/html/CREC-2015-02-24-pt1-PgD169-2.htm","","",""," on Department of Defense, to hold hearings to examine proposed budget estimates and justification for fiscal year 2016 for the Air Force, 10:30 a.m., SD-192. Committee on Armed Services: Subcommittee on Personnel, to hold hearings to examine healthcare recommendations of the Military Compensation and Retirement Modernization Commission, 2:...","","2015-02-24"
"586","Congressional Recor","CREC-2001-02-28","CREC-2001-02-28-pt1-PgD149","Daily Digest/Senate Committee Meetings","https://www.govinfo.gov/app/details/CREC-2001-02-28/CREC-2001-02-28-pt1-PgD149","https://www.govinfo.gov/content/pkg/CREC-2001-02-28/pdf/CREC-2001-02-28-pt1-PgD149.pdf","https://www.govinfo.gov/content/pkg/CREC-2001-02-28/html/CREC-2001-02-28-pt1-PgD149.htm","","",""," reported an original resolution (S. Res. 31) requesting $1,794,378 for operating expenses for the period from March 1, 2001 through September 30, 2001, $3,181,922 for operating expenses for the period from October 1, 2001 through September 30, 2002, and $1,360,530 for operating expenses for the period from October 1, 2002 through February ...","","2001-02-28"
"587","Congressional Recor","CREC-2004-07-14","CREC-2004-07-14-pt1-PgD769","Daily Digest/COMMITTEE MEETINGS FOR 2004-07-15","https://www.govinfo.gov/app/details/CREC-2004-07-14/CREC-2004-07-14-pt1-PgD769","https://www.govinfo.gov/content/pkg/CREC-2004-07-14/pdf/CREC-2004-07-14-pt1-PgD769.pdf","https://www.govinfo.gov/content/pkg/CREC-2004-07-14/html/CREC-2004-07-14-pt1-PgD769.htm","","",""," on Labor, Health and Human Services, and Education, to hold hearings to examine preventing chronic disease through healthy lifestyles, 9:30 a.m., SD-192. Full Committee, business meeting to mark up proposed legislation making appropriations for military construction, family housing, and base realignment and closure for the Department of Defense...","","2004-07-14"
"588","Congressional Recor","CREC-1999-04-13","CREC-1999-04-13-pt1-PgD378","Daily Digest/COMMITTEE MEETINGS FOR 1999-04-14","https://www.govinfo.gov/app/details/CREC-1999-04-13/CREC-1999-04-13-pt1-PgD378","https://www.govinfo.gov/content/pkg/CREC-1999-04-13/pdf/CREC-1999-04-13-pt1-PgD378.pdf","https://www.govinfo.gov/content/pkg/CREC-1999-04-13/html/CREC-1999-04-13-pt1-PgD378.htm","","",""," on Interior, to hold hearings on proposed budget estimates for fiscal year 2000 for the Bureau of Indian Affairs, Department of the Interior, 9:30 a.m., SD- 124. Subcommittee on Defense, to hold hearings on proposed budget estimates for fiscal year 2000 for the Department of Defense, focusing on ballistic missile defense, 11 a.m., SD-192. ...","","1999-04-13"
"589","Congressional Recor","CREC-1999-03-16","CREC-1999-03-16-pt1-PgD284-2","Daily Digest/COMMITTEE MEETINGS FOR 1999-03-17","https://www.govinfo.gov/app/details/CREC-1999-03-16/CREC-1999-03-16-pt1-PgD284-2","https://www.govinfo.gov/content/pkg/CREC-1999-03-16/pdf/CREC-1999-03-16-pt1-PgD284-2.pdf","https://www.govinfo.gov/content/pkg/CREC-1999-03-16/html/CREC-1999-03-16-pt1-PgD284-2.htm","","",""," and Forestry: to resume hearings to examine the nature of risk management in agriculture and federal crop insurance programs, 8 a.m., SR-328A. Committee on Appropriations: Subcommittee on Defense, to hold hearings on proposed budget estimates for fiscal year 2000 for Air Force programs, 10 a.m., SD-192. Subcommittee on Legislative Branch, to hold ...","","1999-03-16"
"590","Congressional Recor","CREC-1998-02-11","CREC-1998-02-11-pt1-PgD85-2","Daily Digest/COMMITTEE MEETINGS FOR 1998-02-12","https://www.govinfo.gov/app/details/CREC-1998-02-11/CREC-1998-02-11-pt1-PgD85-2","https://www.govinfo.gov/content/pkg/CREC-1998-02-11/pdf/CREC-1998-02-11-pt1-PgD85-2.pdf","https://www.govinfo.gov/content/pkg/CREC-1998-02-11/html/CREC-1998-02-11-pt1-PgD85-2.htm","","",""," hearings on proposed legislation authorizing funds for fiscal year 1999 for the Department of Defense and the future years defense program, 10 a.m., SH-216. Committee on the Budget, to hold hearings on unfunded private sector mandates, 2 p.m., SD-608. Committee on Commerce, Science, and Transportation, to hold hearings on the nomination of ...","","1998-02-11"
"591","Congressional Recor","CREC-1997-10-28","CREC-1997-10-28-pt1-PgD1160","Daily Digest/COMMITTEE MEETINGS FOR 1997-10-29","https://www.govinfo.gov/app/details/CREC-1997-10-28/CREC-1997-10-28-pt1-PgD1160","https://www.govinfo.gov/content/pkg/CREC-1997-10-28/pdf/CREC-1997-10-28-pt1-PgD1160.pdf","https://www.govinfo.gov/content/pkg/CREC-1997-10-28/html/CREC-1997-10-28-pt1-PgD1160.htm","","",""," on Energy and Water Development, to hold hearings to examine the maintenance of the U.S. nuclear weapons stockpile without testing, 2:30 p.m., SD-124. Committee on Banking, Housing, and Urban Affairs, Subcommittee on Securities, to hold oversight hearings on securities litigation abuses, 10 a.m., SD-538. Committee on the Budget, to hold ...","","1997-10-28"
"592","Congressional Recor","CREC-1997-04-30","CREC-1997-04-30-pt1-PgD412","Daily Digest/COMMITTEE MEETINGS FOR 1997-05-01","https://www.govinfo.gov/app/details/CREC-1997-04-30/CREC-1997-04-30-pt1-PgD412","https://www.govinfo.gov/content/pkg/CREC-1997-04-30/pdf/CREC-1997-04-30-pt1-PgD412.pdf","https://www.govinfo.gov/content/pkg/CREC-1997-04-30/html/CREC-1997-04-30-pt1-PgD412.htm","","",""," on Agriculture, Rural Development, and Related Agencies, to hold hearings on proposed budget estimates for fiscal year 1998 for the Commodity Futures Trading Commission, and the Food and Drug Administration, Department of Health and Human Resources, 10 a.m., SD-124. Subcommittee on VA, HUD, and Independent Agencies, to hold hearings on proposed ...","","1997-04-30"
"593","Congressional Record (Bound Edition)","CRECB-2001-pt19","CRECB-2001-pt19-Pg26686","TEXT OF AMENDMENTS","https://www.govinfo.gov/app/details/CRECB-2001-pt19/CRECB-2001-pt19-Pg26686","https://www.govinfo.gov/content/pkg/CRECB-2001-pt19/pdf/CRECB-2001-pt19-Pg26686.pdf","https://www.govinfo.gov/content/pkg/CRECB-2001-pt19/html/CRECB-2001-pt19-Pg26686.htm","","",""," proposed by him to the bill S. 1731, to strengthen the safety net for agricultural producers, to enhance resource conservation and rural development, to provide for farm credit, agricultural research, nutrition, and related programs, to ensure consumers abundant food and fiber, and for other purposes; which was ordered to lie on the table; as ...","","2001-12-18"
"594","Congressional Recor","CREC-1996-03-06","CREC-1996-03-06-pt1-PgD149-2","Daily Digest/COMMITTEE MEETINGS FOR 1996-03-07","https://www.govinfo.gov/app/details/CREC-1996-03-06/CREC-1996-03-06-pt1-PgD149-2","https://www.govinfo.gov/content/pkg/CREC-1996-03-06/pdf/CREC-1996-03-06-pt1-PgD149-2.pdf","https://www.govinfo.gov/content/pkg/CREC-1996-03-06/html/CREC-1996-03-06-pt1-PgD149-2.htm","","","","meeting, to consider pending military nominations; to be followed by hearings on the nominations of Kenneth H. Bacon, of the District of Columbia, to be Assistant Secretary of Defense for Public Affairs, Franklin D. Kramer, of the District of Columbia, to be Assistant Secretary of Defense for International Security Affairs, and Alvin L. Alm, of ...","","1996-03-06"
"595","Congressional Recor","CREC-2004-03-04","CREC-2004-03-04-pt1-PgD188","Daily Digest/COMMITTEE MEETINGS FOR 2004-03-05","https://www.govinfo.gov/app/details/CREC-2004-03-04/CREC-2004-03-04-pt1-PgD188","https://www.govinfo.gov/content/pkg/CREC-2004-03-04/pdf/CREC-2004-03-04-pt1-PgD188.pdf","https://www.govinfo.gov/content/pkg/CREC-2004-03-04/html/CREC-2004-03-04-pt1-PgD188.htm","","",""," on Government Reform, hearing entitled ``Public Confidence, Down the Drain: The Federal Role in Ensuring Safe Drinking Water in the District of Columbia,'' 10 a.m., 2154 Rayburn. Permanent Select Committee on Intelligence, executive hearing on Iraqi Weapons of Mass Destruction, 9 a.m., H-405 Capitol. Joint Meetings Joint Economic Committee:...","","2004-03-04"
"596","Congressional Recor","CREC-1996-03-07","CREC-1996-03-07-pt1-PgD156","Daily Digest/House Committee Meetings","https://www.govinfo.gov/app/details/CREC-1996-03-07/CREC-1996-03-07-pt1-PgD156","https://www.govinfo.gov/content/pkg/CREC-1996-03-07/pdf/CREC-1996-03-07-pt1-PgD156.pdf","https://www.govinfo.gov/content/pkg/CREC-1996-03-07/html/CREC-1996-03-07-pt1-PgD156.htm","","","",", and Related Agencies continued appropriations hearings. Testimony was heard from congressional and public witnesses. INTERIOR APPROPRIATIONS Committee on Appropriations: Subcommittee on Interior held a hearing on Department of Energy and other programs. Testimony was heard from public witnesses. LABOR-HHS-EDUCATION APPROPRIATIONS Committee on ...","","1996-03-07"
"597","Congressional Recor","CREC-2005-03-07","CREC-2005-03-07-pt1-PgD190-3","Daily Digest/COMMITTEE MEETINGS FOR 2005-03-08","https://www.govinfo.gov/app/details/CREC-2005-03-07/CREC-2005-03-07-pt1-PgD190-3","https://www.govinfo.gov/content/pkg/CREC-2005-03-07/pdf/CREC-2005-03-07-pt1-PgD190-3.pdf","https://www.govinfo.gov/content/pkg/CREC-2005-03-07/html/CREC-2005-03-07-pt1-PgD190-3.htm","","",""," Forestry: to hold hearings to examine the reauthorization of the Commodity Futures Trading Commission, 10 a.m., SD-106. Committee on Appropriations: Subcommittee on Military Construction, to hold hearings to examine proposed budget estimates for fiscal year 2006 for defense wide and navy budget overview, 2:30 p.m., SD-138. Committee on Armed ...","","2005-03-07"
"598","Congressional Recor","CREC-2001-03-19","CREC-2001-03-19-pt1-PgD232-5","Daily Digest/COMMITTEE MEETINGS FOR 2001-03-20","https://www.govinfo.gov/app/details/CREC-2001-03-19/CREC-2001-03-19-pt1-PgD232-5","https://www.govinfo.gov/content/pkg/CREC-2001-03-19/pdf/CREC-2001-03-19-pt1-PgD232-5.pdf","https://www.govinfo.gov/content/pkg/CREC-2001-03-19/html/CREC-2001-03-19-pt1-PgD232-5.htm","","",""," on Readiness and Management Support, to hold hearings to examine the readiness impact of range encroachment issues, including endangered species and critical habitats; sustainment of the maritime environment; airspace management; urban sprawl; air pollution; unexploded ordinance; and noise, 9:30 a.m., SR-232A. Committee on Finance: to hold ...","","2001-03-19"
"599","Congressional Recor","CREC-1998-09-02","CREC-1998-09-02-pt1-PgD929-3","Daily Digest/COMMITTEE MEETINGS FOR 1998-09-03","https://www.govinfo.gov/app/details/CREC-1998-09-02/CREC-1998-09-02-pt1-PgD929-3","https://www.govinfo.gov/content/pkg/CREC-1998-09-02/pdf/CREC-1998-09-02-pt1-PgD929-3.pdf","https://www.govinfo.gov/content/pkg/CREC-1998-09-02/html/CREC-1998-09-02-pt1-PgD929-3.htm","","",""," meeting, to mark up proposed legislation making appropriations for the Departments of Labor, Health and Human Services, and Education, and related agencies for the fiscal year ending September 30, 1999, 2:30 p.m., SD-106. Committee on Armed Services, Subcommittee on Strategic Forces, to hold hearings to examine Department of Energy low level ...","","1998-09-02"
"600","Congressional Recor","CREC-2009-12-01","CREC-2009-12-01-pt1-PgS12069-3","EXECUTIVE REPORT OF COMMITTEE--TREATY","https://www.govinfo.gov/app/details/CREC-2009-12-01/CREC-2009-12-01-pt1-PgS12069-3","https://www.govinfo.gov/content/pkg/CREC-2009-12-01/pdf/CREC-2009-12-01-pt1-PgS12069-3.pdf","https://www.govinfo.gov/content/pkg/CREC-2009-12-01/html/CREC-2009-12-01-pt1-PgS12069-3.htm","","","",": [Treaty Doc. 111-4: Protocol Amending Tax Convention with France with 1 declaration and 1 condition (Ex. Rept. 111-1)] The text of the committee-recommended resolution of advice and consent to ratification is as follows: VIII. Resolution of Advice and Consent to Ratification Resolved (two-thirds of the Senators present concurring therein), ...","","2009-12-01"
"601","Congressional Recor","CREC-2003-03-04","CREC-2003-03-04-pt1-PgD182","Daily Digest/COMMITTEE MEETINGS FOR 2003-03-05","https://www.govinfo.gov/app/details/CREC-2003-03-04/CREC-2003-03-04-pt1-PgD182","https://www.govinfo.gov/content/pkg/CREC-2003-03-04/pdf/CREC-2003-03-04-pt1-PgD182.pdf","https://www.govinfo.gov/content/pkg/CREC-2003-03-04/html/CREC-2003-03-04-pt1-PgD182.htm","","",""," on Defense, to hold closed hearings on proposed budget estimates for fiscal year 2004 for operations intelligence, 10 a.m., S-407, Capitol. Subcommittee on Energy and Water Development, to hold hearings on proposed budget estimates for fiscal year 2004 for the Army Corps of Engineers and Bureau of Reclamation energy and water development ...","","2003-03-04"
"602","Congressional Recor","CREC-1995-05-16","CREC-1995-05-16-pt1-PgD616","Daily Digest/COMMITTEE MEETINGS FOR 1995-05-17","https://www.govinfo.gov/app/details/CREC-1995-05-16/CREC-1995-05-16-pt1-PgD616","https://www.govinfo.gov/content/pkg/CREC-1995-05-16/pdf/CREC-1995-05-16-pt1-PgD616.pdf","https://www.govinfo.gov/content/pkg/CREC-1995-05-16/html/CREC-1995-05-16-pt1-PgD616.htm","","",""," on VA, HUD, and Independent Agencies, to hold hearings to examine the National Academy of Public Administration's study on the Environmental Protection Agency, 9 a.m., SD-G50. Subcommittee on Interior, to hold hearings on proposed budget estimates for fiscal year 1996 for the National Park Service, Department of the Interior, 9:30 a.m., SD-192....","","1995-05-16"
"603","Congressional Recor","CREC-1998-01-29","CREC-1998-01-29-pt1-PgD39-2","Daily Digest/CONGRESSIONAL PROGRAM AHEAD","https://www.govinfo.gov/app/details/CREC-1998-01-29/CREC-1998-01-29-pt1-PgD39-2","https://www.govinfo.gov/content/pkg/CREC-1998-01-29/pdf/CREC-1998-01-29-pt1-PgD39-2.pdf","https://www.govinfo.gov/content/pkg/CREC-1998-01-29/html/CREC-1998-01-29-pt1-PgD39-2.htm","","",""," for action. (Senate will recess on Tuesday, February 3, 1998, from 12:30 p.m.- 2:15 p.m. for respective party conferences.) Senate Committees (Committee meetings are open unless otherwise indicated) Committee on Armed Services: February 3 and 5, to hold hearings on proposed legislation authorizing funds for fiscal year 1999 for the Department of ...","","1998-01-29"
"604","Congressional Recor","CREC-2002-02-26","CREC-2002-02-26-pt1-PgD129","Daily Digest/COMMITTEE MEETINGS FOR 2002-02-27","https://www.govinfo.gov/app/details/CREC-2002-02-26/CREC-2002-02-26-pt1-PgD129","https://www.govinfo.gov/content/pkg/CREC-2002-02-26/pdf/CREC-2002-02-26-pt1-PgD129.pdf","https://www.govinfo.gov/content/pkg/CREC-2002-02-26/html/CREC-2002-02-26-pt1-PgD129.htm","","",""," hearings to examine the shortage of geriatric trained health care professionals, 9 a.m., SD- 628. Committee on Appropriations: Subcommittee on Transportation, to hold hearings to examine highway safety programs, 9:30 a.m., SD-116. Subcommittee on VA, HUD, and Independent Agencies, to hold hearings to examine the role of the Federal Emergency ...","","2002-02-26"
"605","Congressional Recor","CREC-1999-03-02","CREC-1999-03-02-pt1-PgD200","Daily Digest/COMMITTEE MEETINGS FOR 1999-03-03","https://www.govinfo.gov/app/details/CREC-1999-03-02/CREC-1999-03-02-pt1-PgD200","https://www.govinfo.gov/content/pkg/CREC-1999-03-02/pdf/CREC-1999-03-02-pt1-PgD200.pdf","https://www.govinfo.gov/content/pkg/CREC-1999-03-02/html/CREC-1999-03-02-pt1-PgD200.htm","","",""," on Labor, Health and Human Services, and Education, to hold hearings on proposed budget estimates for fiscal year 2000 for the Department of Education, 9:30 a.m., SD-138. Subcommittee on Defense, to hold hearings on proposed budget estimates for fiscal year 2000 for the Department of Defense, 10 a.m., SD-192. Subcommittee on Legislative Branch...","","1999-03-02"
"606","Congressional Recor","CREC-2001-07-10","CREC-2001-07-10-pt1-PgD678-2","Daily Digest/COMMITTEE MEETINGS FOR 2001-07-11","https://www.govinfo.gov/app/details/CREC-2001-07-10/CREC-2001-07-10-pt1-PgD678-2","https://www.govinfo.gov/content/pkg/CREC-2001-07-10/pdf/CREC-2001-07-10-pt1-PgD678-2.pdf","https://www.govinfo.gov/content/pkg/CREC-2001-07-10/html/CREC-2001-07-10-pt1-PgD678-2.htm","","",""," on Labor, Health and Human Services, and Education, to hold hearings to examine genomic research issues, 9:30 a.m., SH-216. Subcommittee on Foreign Operations, to hold hearings to examine the Andean counterdrug initiative, 10:30 a.m., SD-192. Subcommittee on District of Columbia, to continue hearings on proposed legislation making ...","","2001-07-10"
"607","Congressional Recor","CREC-1998-03-03","CREC-1998-03-03-pt1-PgD159","Daily Digest/COMMITTEE MEETINGS FOR 1998-03-04","https://www.govinfo.gov/app/details/CREC-1998-03-03/CREC-1998-03-03-pt1-PgD159","https://www.govinfo.gov/content/pkg/CREC-1998-03-03/pdf/CREC-1998-03-03-pt1-PgD159.pdf","https://www.govinfo.gov/content/pkg/CREC-1998-03-03/html/CREC-1998-03-03-pt1-PgD159.htm","","",""," on Commerce, Justice, State, and the Judiciary, to hold hearings on proposed budget estimates for fiscal year 1999 for the Department of Commerce, 10 a.m., S-146, Capitol. Subcommittee on Defense, to hold hearings on proposed budget estimates for fiscal year 1999 for the Department of Defense, focusing on Air Force programs, 10:30 a.m., SD-192...","","1998-03-03"
